"","num_groups","num_seurat_clusters","num_callback_clusters"
"1",1,5,1
"2",1,6,1
"3",1,6,1
"4",1,5,1
"5",1,6,1
"6",1,5,1
"7",1,6,1
"8",1,6,1
"9",1,6,1
"10",1,4,1
"11",1,5,1
"12",1,5,1
"13",1,5,1
"14",1,6,1
"15",1,5,1
"16",1,4,1
"17",1,5,1
"18",1,6,1
"19",1,7,1
"20",1,7,1
"21",1,5,1
"22",1,5,1
"23",1,6,1
"24",1,5,1
"25",1,5,1
"26",1,6,1
"27",1,5,1
"28",1,5,1
"29",1,5,1
"30",1,7,1
"31",1,6,1
"32",1,7,1
"33",1,6,1
"34",1,6,1
"35",1,6,1
"36",1,6,1
"37",1,5,1
"38",1,5,1
"39",1,6,1
"40",1,4,1
"41",1,6,1
"42",1,5,1
"43",1,5,1
"44",1,6,1
"45",1,4,1
"46",1,5,1
"47",1,5,1
"48",1,5,1
"49",1,5,1
"50",1,6,1
"51",1,6,1
"52",1,5,1
"53",1,5,1
"54",1,5,1
"55",1,5,1
"56",1,5,1
"57",1,6,1
"58",1,6,1
"59",1,6,1
"60",1,5,1
"61",1,5,1
"62",1,5,1
"63",1,5,1
"64",1,5,1
"65",1,5,1
"66",1,4,1
"67",1,4,1
"68",1,6,1
"69",1,6,1
"70",1,6,1
"71",1,6,1
"72",1,6,1
"73",1,5,1
"74",1,6,1
"75",1,5,1
"76",1,6,1
"77",1,6,1
"78",1,5,1
"79",1,6,1
"80",1,6,1
"81",1,5,1
"82",1,6,1
"83",1,6,1
"84",1,5,1
"85",1,4,1
"86",1,7,1
"87",1,5,1
"88",1,5,1
"89",1,5,1
"90",1,5,1
"91",1,6,1
"92",1,6,1
"93",1,5,1
"94",1,5,1
"95",1,6,1
"96",1,5,1
"97",1,5,1
"98",1,5,1
"99",1,5,1
"100",1,6,1
"101",1,5,1
"102",1,6,1
"103",1,5,1
"104",1,6,1
"105",1,6,1
"106",1,6,1
"107",1,5,1
"108",1,5,1
"109",1,5,1
"110",1,6,1
"111",1,7,1
"112",1,5,1
"113",1,5,1
"114",1,5,1
"115",1,5,1
"116",1,5,1
"117",1,6,1
"118",1,6,1
"119",1,6,1
"120",1,5,1
"121",1,5,1
"122",1,4,1
"123",1,5,1
"124",1,5,1
"125",1,5,1
"126",1,6,1
"127",1,5,1
"128",1,5,1
"129",1,6,1
"130",1,5,1
"131",1,5,1
"132",1,6,1
"133",1,6,1
"134",1,5,1
"135",1,6,1
"136",1,5,1
"137",1,6,1
"138",1,5,1
"139",1,5,1
"140",1,6,1
"141",1,4,1
"142",1,5,1
"143",1,5,1
"144",1,4,1
"145",1,7,1
"146",1,5,1
"147",1,5,1
"148",1,5,1
"149",1,5,1
"150",1,5,1
"151",1,6,1
"152",1,5,1
"153",1,6,1
"154",1,5,1
"155",1,5,1
"156",1,5,1
"157",1,5,1
"158",1,6,1
"159",1,6,1
"160",1,6,1
"161",1,5,1
"162",1,7,1
"163",1,5,1
"164",1,7,1
"165",1,6,1
"166",1,4,1
"167",1,5,1
