"","num_cells","method","time","memory"
"1",1000,"callback",0.150610284010569,803.5
"2",1000,"sc-SHC",0.134516656398773,1218.6
"3",1000,"CHOIR",1.16183378299077,149
"4",2000,"callback",0.17490408817927,529.4
"5",2000,"sc-SHC",0.18399111032486,1189.7
"6",2000,"CHOIR",6.93211860259374,365.9
"7",5000,"callback",0.41248730023702,1125.9
"8",5000,"sc-SHC",0.444609789053599,1130.2
"9",5000,"CHOIR",7.03486729462942,684.1
"10",10000,"callback",0.727461890379588,1022.1
"11",10000,"sc-SHC",0.559471933046977,1397.3
"12",10000,"CHOIR",13.610936109225,1371.1
"13",20000,"callback",1.87848898569743,1614.8
"14",20000,"sc-SHC",1.46987370252609,4399.9
"15",20000,"CHOIR",30.9507498661677,1776.4
"16",30000,"callback",2.56585336128871,2112.7
"17",30000,"sc-SHC",1.96242945988973,6848
"18",30000,"CHOIR",36.0358476360639,2925
"19",40000,"callback",3.94348238309224,3337.8
"20",40000,"sc-SHC",3.33847341537476,11630.9
"21",40000,"CHOIR",41.2908719460169,5269.2
"22",50000,"callback",5.91038417816162,4533.2
"23",50000,"sc-SHC",4.89067586660385,17810.4
"24",50000,"CHOIR",66.0738540410996,8342.2
"25",60000,"callback",6.43337789376577,5512.3
"26",60000,"sc-SHC",7.04770216941833,25057.9
"27",60000,"CHOIR",90.1926064133644,11947.9
"28",68579,"callback",9.90458866755168,4982.3
"29",68579,"sc-SHC",9.33924871285756,32083.5
"30",68579,"CHOIR",113.762041211128,15487.9
